"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5348","test_invalid_login","test_saucedemo.tests","Wed Nov 26 00:53:07 GMT+06:00 2025","broken","Wed Nov 26 00:53:12 GMT+06:00 2025","TestLogin","test_login","",""
"","2437","test_invalid_admin_login[Admin-]","test_demoblaze.test_cases","Wed Nov 26 00:52:39 GMT+06:00 2025","passed","Wed Nov 26 00:52:41 GMT+06:00 2025","TestIndexPage","test_admin_login","",""
"","3492","test_invalid_admin_login[admin123-admin]","test_demoblaze.test_cases","Wed Nov 26 00:52:30 GMT+06:00 2025","passed","Wed Nov 26 00:52:33 GMT+06:00 2025","TestIndexPage","test_admin_login","",""
"","4705","test_valid_admin_login","test_demoblaze.test_cases","Wed Nov 26 00:52:23 GMT+06:00 2025","passed","Wed Nov 26 00:52:28 GMT+06:00 2025","TestIndexPage","test_admin_login","",""
"","3837","test_invalid_admin_login[*-*]","test_demoblaze.test_cases","Wed Nov 26 00:52:48 GMT+06:00 2025","passed","Wed Nov 26 00:52:52 GMT+06:00 2025","TestIndexPage","test_admin_login","",""
"","2563","test_invalid_admin_login[-]","test_demoblaze.test_cases","Wed Nov 26 00:52:44 GMT+06:00 2025","passed","Wed Nov 26 00:52:47 GMT+06:00 2025","TestIndexPage","test_admin_login","",""
"","1875","test_valid_login_and_logout","test_saucedemo.tests","Wed Nov 26 00:53:05 GMT+06:00 2025","passed","Wed Nov 26 00:53:07 GMT+06:00 2025","TestLogin","test_login","",""
"","1344","test_title_verification","test_demoblaze.test_cases","Wed Nov 26 00:52:20 GMT+06:00 2025","passed","Wed Nov 26 00:52:21 GMT+06:00 2025","TestIndexPage","test_admin_login","",""
"","6750","test_add_and_remove_item","test_saucedemo.tests","Wed Nov 26 00:52:55 GMT+06:00 2025","passed","Wed Nov 26 00:53:02 GMT+06:00 2025","TestCart","test_cart","",""
"","2152","test_invalid_admin_login[-admin123]","test_demoblaze.test_cases","Wed Nov 26 00:52:35 GMT+06:00 2025","passed","Wed Nov 26 00:52:37 GMT+06:00 2025","TestIndexPage","test_admin_login","",""
